domain,problem,variant,model,parsable,executability,reachability,conditional_reachability,plan_length,plan_length_metric,first_failure_step,strict_final_value,non_executable_failure,non_executable_failure_parse_share,parse_error_flag,state_execution_error_flag,validator_timeout_flag,legacy_cost,legacy_gap,bug_optimal,optimality_ratio,optimal_cost,optimal_plan_length,matching_actions,insertions,deletions,total_distance,normalized_distance,llm_actions_count,optimal_actions_count,deprecated_kendall_tau_inversions,deprecated_insertions,deprecated_deletions,deprecated_total_distance,deprecated_normalized_distance,reasoning_enabled,duration_sec,prompt_tokens,completion_tokens,total_tokens
folding,p05,canonical,gpt-5-mini,True,True,False,False,1,1.0,,,,,False,False,False,,,False,,14.0,292,1,0,291,291,0.9932,1,292,0,-13,278,265,0.0062,True,21.34,12780,1884,14664
folding,p05,canonical,grok-4-1-fast,False,False,False,,2,,,,parse_error,1.0,True,False,False,,,False,,14.0,292,0,2,292,294,1.0,2,292,0,-130,160,30,0.0007,True,228.7,12868,22240,35108
folding,p05,canonical,mimo-v2-flash,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,14.0,292,0,0,292,292,1.0,0,292,0,0,292,292,0.0068,True,48.81,14795,8211,23006
folding,p05,canonical,qwen3-5-35b-a3b-alibaba,False,False,False,,78,,,,parse_error,1.0,True,False,False,,,False,,14.0,292,24,54,268,322,0.8703,78,292,629,-214,0,415,0.0097,True,205.97,16237,16000,32237
folding,p05,optimal,gpt-5-mini,True,False,False,,304,304.0,72.0,,state_execution_error,0.0,False,True,False,,,False,,14.0,292,42,262,250,512,0.8591,304,292,13301,12,0,13313,0.3112,True,210.75,12780,25563,38343
folding,p05,optimal,grok-4-1-fast,False,False,False,,2,,,,parse_error,1.0,True,False,False,,,False,,14.0,292,0,2,292,294,1.0,2,292,0,-130,160,30,0.0007,True,335.87,12868,31394,44262
folding,p05,optimal,mimo-v2-flash,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,14.0,292,0,0,292,292,1.0,0,292,0,0,292,292,0.0068,True,66.18,14795,11434,26229
folding,p05,optimal,qwen3-5-35b-a3b-alibaba,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,14.0,292,0,0,292,292,1.0,0,292,0,0,292,292,0.0068,True,215.03,16237,16000,32237
folding,p05,frequency,gpt-5-mini,True,False,False,,303,303.0,86.0,,state_execution_error,0.0,False,True,False,,,False,,14.0,292,42,261,250,511,0.8588,303,292,13145,11,0,13156,0.3075,True,173.0,12780,21122,33902
folding,p05,frequency,grok-4-1-fast,False,False,False,,2,,,,parse_error,1.0,True,False,False,,,False,,14.0,292,0,2,292,294,1.0,2,292,0,-130,160,30,0.0007,True,364.7,12868,37328,50196
folding,p05,frequency,mimo-v2-flash,True,False,False,,14,14.0,2.0,,state_execution_error,0.0,False,True,False,,,False,,14.0,292,3,11,289,300,0.9804,14,292,0,0,278,278,0.0065,True,97.9,14795,15145,29940
folding,p05,frequency,qwen3-5-35b-a3b-alibaba,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,14.0,292,0,0,292,292,1.0,0,292,0,0,292,292,0.0068,True,214.87,16237,16000,32237
folding,p05,dispersion,gpt-5-mini,True,False,False,,304,304.0,86.0,,state_execution_error,0.0,False,True,False,,,False,,14.0,292,42,262,250,512,0.8591,304,292,13301,12,0,13313,0.3112,True,236.22,12780,28464,41244
folding,p05,dispersion,grok-4-1-fast,False,False,False,,2,,,,parse_error,1.0,True,False,False,,,False,,14.0,292,2,0,290,290,0.9864,2,292,0,-130,160,30,0.0007,True,133.25,12868,19560,32428
folding,p05,dispersion,mimo-v2-flash,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,14.0,292,0,0,292,292,1.0,0,292,0,0,292,292,0.0068,True,818.77,14795,17942,32737
folding,p05,dispersion,qwen3-5-35b-a3b-alibaba,False,False,False,,198,,,,parse_error,1.0,True,False,False,,,False,,14.0,292,12,186,280,466,0.951,198,292,5436,-94,0,5342,0.1249,True,111.58,16237,22063,38300
folding,p05,random_01,gpt-5-mini,True,False,False,,14,14.0,2.0,,state_execution_error,0.0,False,True,False,,,False,,14.0,292,2,12,290,302,0.9869,14,292,0,0,278,278,0.0065,True,53.52,12780,6064,18844
folding,p05,random_01,grok-4-1-fast,False,False,False,,1,,,,parse_error,1.0,True,False,False,,,False,,14.0,292,0,1,292,293,1.0,1,292,0,-13,278,265,0.0062,True,315.65,12868,29287,42155
folding,p05,random_01,mimo-v2-flash,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,14.0,292,0,0,292,292,1.0,0,292,0,0,292,292,0.0068,True,803.53,14795,18412,33207
folding,p05,random_01,qwen3-5-35b-a3b-alibaba,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,14.0,292,0,0,292,292,1.0,0,292,0,0,292,292,0.0068,True,204.77,16237,16000,32237
folding,p05,random_02,gpt-5-mini,True,False,False,,14,14.0,2.0,,state_execution_error,0.0,False,True,False,,,False,,14.0,292,1,13,291,304,0.9935,14,292,0,0,278,278,0.0065,True,88.49,12780,10201,22981
folding,p05,random_02,grok-4-1-fast,False,False,False,,2,,,,parse_error,1.0,True,False,False,,,False,,14.0,292,2,0,290,290,0.9864,2,292,0,-130,160,30,0.0007,True,201.68,12868,20145,33013
folding,p05,random_02,mimo-v2-flash,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,14.0,292,0,0,292,292,1.0,0,292,0,0,292,292,0.0068,True,125.35,14795,22352,37147
folding,p05,random_02,qwen3-5-35b-a3b-alibaba,False,False,False,,1,,,,parse_error,1.0,True,False,False,,,False,,14.0,292,1,0,291,291,0.9932,1,292,0,-13,278,265,0.0062,True,138.59,16237,16000,32237
folding,p05,random_03,gpt-5-mini,True,False,False,,292,292.0,104.0,,state_execution_error,0.0,False,True,False,,,False,,14.0,292,42,250,250,500,0.8562,292,292,11940,0,0,11940,0.2791,True,164.62,12780,19450,32230
folding,p05,random_03,grok-4-1-fast,False,False,False,,2,,,,parse_error,1.0,True,False,False,,,False,,14.0,292,0,2,292,294,1.0,2,292,0,-130,160,30,0.0007,True,169.83,12868,23269,36137
folding,p05,random_03,mimo-v2-flash,True,False,False,,14,14.0,2.0,,state_execution_error,0.0,False,True,False,,,False,,14.0,292,3,11,289,300,0.9804,14,292,0,0,278,278,0.0065,True,121.33,14795,22480,37275
folding,p05,random_03,qwen3-5-35b-a3b-alibaba,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,14.0,292,0,0,292,292,1.0,0,292,0,0,292,292,0.0068,True,219.67,16237,16000,32237
folding,p05,random_04,gpt-5-mini,True,False,False,,304,304.0,86.0,,state_execution_error,0.0,False,True,False,,,False,,14.0,292,42,262,250,512,0.8591,304,292,13301,12,0,13313,0.3112,True,198.32,12780,22318,35098
folding,p05,random_04,grok-4-1-fast,False,False,False,,2,,,,parse_error,1.0,True,False,False,,,False,,14.0,292,2,0,290,290,0.9864,2,292,0,-130,160,30,0.0007,True,355.53,12868,34924,47792
folding,p05,random_04,mimo-v2-flash,True,False,False,,14,14.0,2.0,,state_execution_error,0.0,False,True,False,,,False,,14.0,292,3,11,289,300,0.9804,14,292,0,0,278,278,0.0065,True,119.05,14795,21521,36316
folding,p05,random_04,qwen3-5-35b-a3b-alibaba,False,False,False,,306,,,,parse_error,1.0,True,False,False,,,False,,14.0,292,15,291,277,568,0.9498,306,292,13345,14,0,13359,0.3123,True,118.78,16237,40207,56444
folding,p05,random_05,gpt-5-mini,True,False,False,,14,14.0,2.0,,state_execution_error,0.0,False,True,False,,,False,,14.0,292,3,11,289,300,0.9804,14,292,0,0,278,278,0.0065,True,72.46,12780,7714,20494
folding,p05,random_05,grok-4-1-fast,False,False,False,,2,,,,parse_error,1.0,True,False,False,,,False,,14.0,292,0,2,292,294,1.0,2,292,0,-130,160,30,0.0007,True,289.29,12868,29317,42185
folding,p05,random_05,mimo-v2-flash,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,14.0,292,0,0,292,292,1.0,0,292,0,0,292,292,0.0068,True,115.17,14795,21165,35960
folding,p05,random_05,qwen3-5-35b-a3b-alibaba,True,False,False,,306,306.0,18.0,,state_execution_error,0.0,False,True,False,,,False,,14.0,292,37,269,255,524,0.8763,306,292,13345,14,0,13359,0.3123,True,124.14,16237,23503,39740
