metric,metric_title,variant,model,mean,ci95_low,ci95_high,n,ci_method,coverage_ratio
plan_length,Plan Length,canonical,deepseek/deepseek-v4-flash,41.266666666666666,40.0556813535553,42.47765197977803,15,t_mean_95,0.2634920634920635
plan_length,Plan Length,canonical,gpt-oss-120b,40.0,40.0,40.0,1,single_observation,0.2634920634920635
plan_length,Plan Length,disp_1,deepseek/deepseek-v4-flash,42.7,41.15292134653729,44.247078653462715,10,t_mean_95,0.2634920634920635
plan_length,Plan Length,disp_1,gpt-oss-120b,40.0,40.0,40.0,1,single_observation,0.2634920634920635
plan_length,Plan Length,disp_2,deepseek/deepseek-v4-flash,39.4,38.323072592975734,40.47692740702426,10,t_mean_95,0.2634920634920635
plan_length,Plan Length,disp_2,gpt-oss-120b,38.5,32.147,44.853,2,t_mean_95,0.2634920634920635
plan_length,Plan Length,disp_3,deepseek/deepseek-v4-flash,40.666666666666664,39.72524610885699,41.608087224476336,9,t_mean_95,0.2634920634920635
plan_length,Plan Length,disp_3,gpt-oss-120b,40.0,40.0,40.0,1,single_observation,0.2634920634920635
plan_length,Plan Length,plan_back,deepseek/deepseek-v4-flash,41.72727272727273,40.59954736360134,42.854998090944115,11,t_mean_95,0.2634920634920635
plan_length,Plan Length,plan_front,deepseek/deepseek-v4-flash,39.857142857142854,39.26421117905316,40.450074535232545,14,t_mean_95,0.2634920634920635
plan_length,Plan Length,plan_front,gpt-oss-120b,40.0,40.0,40.0,1,single_observation,0.2634920634920635
plan_length,Plan Length,plan_scatter,deepseek/deepseek-v4-flash,42.125,40.486632335246235,43.763367664753765,8,t_mean_95,0.2634920634920635
executability,Executability,canonical,deepseek/deepseek-v4-flash,1.0,0.7961166989641515,1.0,15,wilson_score_95,1.0
executability,Executability,canonical,gpt-oss-120b,0.26666666666666666,0.10897453325692374,0.5195043405598057,15,wilson_score_95,1.0
executability,Executability,canonical,nemotron-3-super,0.0,0.0,0.20388330103584862,15,wilson_score_95,1.0
executability,Executability,disp_1,deepseek/deepseek-v4-flash,0.6666666666666666,0.41713547738519774,0.8482367556028526,15,wilson_score_95,1.0
executability,Executability,disp_1,gpt-oss-120b,0.4666666666666667,0.24809535365737387,0.698830199745016,15,wilson_score_95,1.0
executability,Executability,disp_1,nemotron-3-super,0.13333333333333333,0.03736125910306537,0.37881982832322364,15,wilson_score_95,1.0
executability,Executability,disp_2,deepseek/deepseek-v4-flash,0.6666666666666666,0.41713547738519774,0.8482367556028526,15,wilson_score_95,1.0
executability,Executability,disp_2,gpt-oss-120b,0.5333333333333333,0.30116980025498397,0.7519046463426261,15,wilson_score_95,1.0
executability,Executability,disp_2,nemotron-3-super,0.0,0.0,0.20388330103584862,15,wilson_score_95,1.0
executability,Executability,disp_3,deepseek/deepseek-v4-flash,0.6,0.357468301206246,0.8017550385865841,15,wilson_score_95,1.0
executability,Executability,disp_3,gpt-oss-120b,0.3333333333333333,0.1517632443971473,0.5828645226148023,15,wilson_score_95,1.0
executability,Executability,disp_3,nemotron-3-super,0.0,0.0,0.20388330103584862,15,wilson_score_95,1.0
executability,Executability,plan_back,deepseek/deepseek-v4-flash,0.7333333333333333,0.4804956594401943,0.8910254667430761,15,wilson_score_95,1.0
executability,Executability,plan_back,gpt-oss-120b,0.3333333333333333,0.1517632443971473,0.5828645226148023,15,wilson_score_95,1.0
executability,Executability,plan_back,nemotron-3-super,0.13333333333333333,0.03736125910306537,0.37881982832322364,15,wilson_score_95,1.0
executability,Executability,plan_front,deepseek/deepseek-v4-flash,0.9333333333333333,0.7018347012621998,0.9881331045067315,15,wilson_score_95,1.0
executability,Executability,plan_front,gpt-oss-120b,0.26666666666666666,0.10897453325692374,0.5195043405598057,15,wilson_score_95,1.0
executability,Executability,plan_front,nemotron-3-super,0.0,0.0,0.20388330103584862,15,wilson_score_95,1.0
executability,Executability,plan_scatter,deepseek/deepseek-v4-flash,0.5333333333333333,0.30116980025498397,0.7519046463426261,15,wilson_score_95,1.0
executability,Executability,plan_scatter,gpt-oss-120b,0.4666666666666667,0.24809535365737387,0.698830199745016,15,wilson_score_95,1.0
executability,Executability,plan_scatter,nemotron-3-super,0.13333333333333333,0.03736125910306537,0.37881982832322364,15,wilson_score_95,1.0
reachability,Reachability,canonical,deepseek/deepseek-v4-flash,1.0,0.7961166989641515,1.0,15,wilson_score_95,1.0
reachability,Reachability,canonical,gpt-oss-120b,0.06666666666666667,0.011866895493268553,0.2981652987378003,15,wilson_score_95,1.0
reachability,Reachability,canonical,nemotron-3-super,0.0,0.0,0.20388330103584862,15,wilson_score_95,1.0
reachability,Reachability,disp_1,deepseek/deepseek-v4-flash,0.6666666666666666,0.41713547738519774,0.8482367556028526,15,wilson_score_95,1.0
reachability,Reachability,disp_1,gpt-oss-120b,0.06666666666666667,0.011866895493268553,0.2981652987378003,15,wilson_score_95,1.0
reachability,Reachability,disp_1,nemotron-3-super,0.0,0.0,0.20388330103584862,15,wilson_score_95,1.0
reachability,Reachability,disp_2,deepseek/deepseek-v4-flash,0.6666666666666666,0.41713547738519774,0.8482367556028526,15,wilson_score_95,1.0
reachability,Reachability,disp_2,gpt-oss-120b,0.13333333333333333,0.03736125910306537,0.37881982832322364,15,wilson_score_95,1.0
reachability,Reachability,disp_2,nemotron-3-super,0.0,0.0,0.20388330103584862,15,wilson_score_95,1.0
reachability,Reachability,disp_3,deepseek/deepseek-v4-flash,0.6,0.357468301206246,0.8017550385865841,15,wilson_score_95,1.0
reachability,Reachability,disp_3,gpt-oss-120b,0.06666666666666667,0.011866895493268553,0.2981652987378003,15,wilson_score_95,1.0
reachability,Reachability,disp_3,nemotron-3-super,0.0,0.0,0.20388330103584862,15,wilson_score_95,1.0
reachability,Reachability,plan_back,deepseek/deepseek-v4-flash,0.7333333333333333,0.4804956594401943,0.8910254667430761,15,wilson_score_95,1.0
reachability,Reachability,plan_back,gpt-oss-120b,0.0,0.0,0.20388330103584862,15,wilson_score_95,1.0
reachability,Reachability,plan_back,nemotron-3-super,0.0,0.0,0.20388330103584862,15,wilson_score_95,1.0
reachability,Reachability,plan_front,deepseek/deepseek-v4-flash,0.9333333333333333,0.7018347012621998,0.9881331045067315,15,wilson_score_95,1.0
reachability,Reachability,plan_front,gpt-oss-120b,0.06666666666666667,0.011866895493268553,0.2981652987378003,15,wilson_score_95,1.0
reachability,Reachability,plan_front,nemotron-3-super,0.0,0.0,0.20388330103584862,15,wilson_score_95,1.0
reachability,Reachability,plan_scatter,deepseek/deepseek-v4-flash,0.5333333333333333,0.30116980025498397,0.7519046463426261,15,wilson_score_95,1.0
reachability,Reachability,plan_scatter,gpt-oss-120b,0.0,0.0,0.20388330103584862,15,wilson_score_95,1.0
reachability,Reachability,plan_scatter,nemotron-3-super,0.0,0.0,0.20388330103584862,15,wilson_score_95,1.0
conditional_reachability,Conditional Reachability,canonical,deepseek/deepseek-v4-flash,1.0,0.7961166989641515,1.0,15,wilson_score_95,0.3904761904761905
conditional_reachability,Conditional Reachability,canonical,gpt-oss-120b,0.25,0.04558726080970055,0.6993581574175981,4,wilson_score_95,0.3904761904761905
conditional_reachability,Conditional Reachability,disp_1,deepseek/deepseek-v4-flash,1.0,0.7224672001371107,0.9999999999999999,10,wilson_score_95,0.3904761904761905
conditional_reachability,Conditional Reachability,disp_1,gpt-oss-120b,0.14285714285714285,0.02567962434474355,0.5131278292743189,7,wilson_score_95,0.3904761904761905
conditional_reachability,Conditional Reachability,disp_1,nemotron-3-super,0.0,0.0,0.6576197724933469,2,wilson_score_95,0.3904761904761905
conditional_reachability,Conditional Reachability,disp_2,deepseek/deepseek-v4-flash,1.0,0.7224672001371107,0.9999999999999999,10,wilson_score_95,0.3904761904761905
conditional_reachability,Conditional Reachability,disp_2,gpt-oss-120b,0.25,0.071479212752109,0.5907245696898311,8,wilson_score_95,0.3904761904761905
conditional_reachability,Conditional Reachability,disp_3,deepseek/deepseek-v4-flash,1.0,0.7008549515804559,1.0,9,wilson_score_95,0.3904761904761905
conditional_reachability,Conditional Reachability,disp_3,gpt-oss-120b,0.2,0.03622410863243014,0.6244653702374747,5,wilson_score_95,0.3904761904761905
conditional_reachability,Conditional Reachability,plan_back,deepseek/deepseek-v4-flash,1.0,0.7411670330319684,1.0,11,wilson_score_95,0.3904761904761905
conditional_reachability,Conditional Reachability,plan_back,gpt-oss-120b,0.0,0.0,0.43448246478317476,5,wilson_score_95,0.3904761904761905
conditional_reachability,Conditional Reachability,plan_back,nemotron-3-super,0.0,0.0,0.6576197724933469,2,wilson_score_95,0.3904761904761905
conditional_reachability,Conditional Reachability,plan_front,deepseek/deepseek-v4-flash,1.0,0.7846891972623643,1.0,14,wilson_score_95,0.3904761904761905
conditional_reachability,Conditional Reachability,plan_front,gpt-oss-120b,0.25,0.04558726080970055,0.6993581574175981,4,wilson_score_95,0.3904761904761905
conditional_reachability,Conditional Reachability,plan_scatter,deepseek/deepseek-v4-flash,1.0,0.6755924351161198,1.0,8,wilson_score_95,0.3904761904761905
conditional_reachability,Conditional Reachability,plan_scatter,gpt-oss-120b,0.0,5.551115123125783e-17,0.35433043506668743,7,wilson_score_95,0.3904761904761905
conditional_reachability,Conditional Reachability,plan_scatter,nemotron-3-super,0.0,0.0,0.6576197724933469,2,wilson_score_95,0.3904761904761905
optimality_ratio,Optimality Ratio,canonical,deepseek/deepseek-v4-flash,1.1790476190476191,1.1444480386730087,1.2136471994222295,15,t_mean_95,0.2634920634920635
optimality_ratio,Optimality Ratio,canonical,gpt-oss-120b,1.1428571428571428,1.1428571428571428,1.1428571428571428,1,single_observation,0.2634920634920635
optimality_ratio,Optimality Ratio,disp_1,deepseek/deepseek-v4-flash,1.22,1.1757977527582082,1.2642022472417918,10,t_mean_95,0.2634920634920635
optimality_ratio,Optimality Ratio,disp_1,gpt-oss-120b,1.1428571428571428,1.1428571428571428,1.1428571428571428,1,single_observation,0.2634920634920635
optimality_ratio,Optimality Ratio,disp_2,deepseek/deepseek-v4-flash,1.1257142857142857,1.094944931227878,1.1564836402006933,10,t_mean_95,0.2634920634920635
optimality_ratio,Optimality Ratio,disp_2,gpt-oss-120b,1.1,0.9184857142857137,1.2815142857142865,2,t_mean_95,0.2634920634920635
optimality_ratio,Optimality Ratio,disp_3,deepseek/deepseek-v4-flash,1.161904761904762,1.1350070316816285,1.1888024921278955,9,t_mean_95,0.2634920634920635
optimality_ratio,Optimality Ratio,disp_3,gpt-oss-120b,1.1428571428571428,1.1428571428571428,1.1428571428571428,1,single_observation,0.2634920634920635
optimality_ratio,Optimality Ratio,plan_back,deepseek/deepseek-v4-flash,1.1922077922077923,1.1599870675314667,1.2244285168841178,11,t_mean_95,0.2634920634920635
optimality_ratio,Optimality Ratio,plan_front,deepseek/deepseek-v4-flash,1.1387755102040817,1.1218346051158048,1.1557164152923587,14,t_mean_95,0.2634920634920635
optimality_ratio,Optimality Ratio,plan_front,gpt-oss-120b,1.1428571428571428,1.1428571428571428,1.1428571428571428,1,single_observation,0.2634920634920635
optimality_ratio,Optimality Ratio,plan_scatter,deepseek/deepseek-v4-flash,1.2035714285714285,1.156760923864178,1.250381933278679,8,t_mean_95,0.2634920634920635
execution_progress,Execution Progress,canonical,deepseek/deepseek-v4-flash,1.0,1.0,1.0,15,t_mean_95,1.0
execution_progress,Execution Progress,canonical,gpt-oss-120b,0.6519907955402179,0.49823247215638244,0.8057491189240533,15,t_mean_95,1.0
execution_progress,Execution Progress,canonical,nemotron-3-super,0.0,0.0,0.0,15,t_mean_95,1.0
execution_progress,Execution Progress,disp_1,deepseek/deepseek-v4-flash,0.8576265993440277,0.710677029428725,1.0045761692593305,15,t_mean_95,1.0
execution_progress,Execution Progress,disp_1,gpt-oss-120b,0.871945412311266,0.7305934518675345,1.0132973727549974,15,t_mean_95,1.0
execution_progress,Execution Progress,disp_1,nemotron-3-super,0.13333333333333333,-0.06154281781327128,0.3282094844799379,15,t_mean_95,1.0
execution_progress,Execution Progress,disp_2,deepseek/deepseek-v4-flash,0.8231136950904393,0.6567430067120926,0.989484383468786,15,t_mean_95,1.0
execution_progress,Execution Progress,disp_2,gpt-oss-120b,0.7089098083963296,0.48546495552092694,0.9323546612717322,15,t_mean_95,1.0
execution_progress,Execution Progress,disp_2,nemotron-3-super,0.04186046511627907,-0.04793023255813954,0.13165116279069766,15,t_mean_95,1.0
execution_progress,Execution Progress,disp_3,deepseek/deepseek-v4-flash,0.722904992904993,0.5200220583916793,0.9257879274183067,15,t_mean_95,1.0
execution_progress,Execution Progress,disp_3,gpt-oss-120b,0.5940592674097167,0.37522816802917625,0.8128903667902572,15,t_mean_95,1.0
execution_progress,Execution Progress,disp_3,nemotron-3-super,0.0,0.0,0.0,15,t_mean_95,1.0
execution_progress,Execution Progress,plan_back,deepseek/deepseek-v4-flash,0.8700824920337116,0.7245744488292658,1.0155905352381573,15,t_mean_95,1.0
execution_progress,Execution Progress,plan_back,gpt-oss-120b,0.44088876570583885,0.19390088221443824,0.6878766491972395,15,t_mean_95,1.0
execution_progress,Execution Progress,plan_back,nemotron-3-super,0.13333333333333333,-0.06154281781327128,0.3282094844799379,15,t_mean_95,1.0
execution_progress,Execution Progress,plan_front,deepseek/deepseek-v4-flash,0.9869918699186991,0.9590894308943089,1.0148943089430893,15,t_mean_95,1.0
execution_progress,Execution Progress,plan_front,gpt-oss-120b,0.6798136079201548,0.5174464204802656,0.842180795360044,15,t_mean_95,1.0
