domain,problem,variant,model,parsable,executability,reachability,conditional_reachability,plan_length,plan_length_metric,first_failure_step,strict_final_value,non_executable_failure,non_executable_failure_parse_share,parse_error_flag,state_execution_error_flag,validator_timeout_flag,legacy_cost,legacy_gap,bug_optimal,optimality_ratio,optimal_cost,optimal_plan_length,matching_actions,insertions,deletions,total_distance,normalized_distance,llm_actions_count,optimal_actions_count,deprecated_kendall_tau_inversions,deprecated_insertions,deprecated_deletions,deprecated_total_distance,deprecated_normalized_distance,reasoning_enabled,duration_sec,prompt_tokens,completion_tokens,total_tokens
folding,p01,canonical,gpt-5-mini,True,True,True,True,70,70.0,,7.0,,,False,False,False,7.0,0.0,False,1.0,7.0,70,13,57,57,114,0.8143,70,70,714,0,0,714,0.2873,True,185.14,4198,15045,19243
folding,p01,canonical,grok-4-1-fast,False,False,False,,16,,,,parse_error,1.0,True,False,False,,,False,,7.0,70,3,13,67,80,0.9302,16,70,41,-54,0,-13,-0.0052,True,213.98,4309,26616,30925
folding,p01,canonical,mimo-v2-flash,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,7.0,70,0,0,70,70,1.0,0,70,0,0,70,70,0.0282,True,3.5,4433,258,4691
folding,p01,canonical,qwen3-5-35b-a3b-alibaba,True,False,False,,77,77.0,8.0,,state_execution_error,0.0,False,True,False,,,False,,7.0,70,7,69,63,132,0.9041,76,70,883,6,0,889,0.3577,True,173.74,4818,15632,20450
folding,p01,optimal,gpt-5-mini,True,True,True,True,70,70.0,,7.0,,,False,False,False,7.0,0.0,False,1.0,7.0,70,13,57,57,114,0.8143,70,70,714,0,0,714,0.2873,True,183.24,4198,14870,19068
folding,p01,optimal,grok-4-1-fast,True,True,True,True,70,70.0,,7.0,,,False,False,False,7.0,0.0,False,1.0,7.0,70,16,54,54,108,0.7714,70,70,770,0,0,770,0.3099,True,199.0,4309,24692,29001
folding,p01,optimal,mimo-v2-flash,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,7.0,70,0,0,70,70,1.0,0,70,0,0,70,70,0.0282,True,2.53,4433,151,4584
folding,p01,optimal,qwen3-5-35b-a3b-alibaba,True,False,False,,77,77.0,8.0,,state_execution_error,0.0,False,True,False,,,False,,7.0,70,12,65,58,123,0.8367,77,70,889,7,0,896,0.3606,True,111.07,4818,19475,24293
folding,p01,frequency,gpt-5-mini,True,True,True,True,70,70.0,,7.0,,,False,False,False,7.0,0.0,False,1.0,7.0,70,13,57,57,114,0.8143,70,70,714,0,0,714,0.2873,True,137.67,4198,11937,16135
folding,p01,frequency,grok-4-1-fast,False,False,False,,2,,,,parse_error,1.0,True,False,False,,,False,,7.0,70,2,0,68,68,0.9444,2,70,0,-26,42,16,0.0064,True,297.67,4309,30242,34551
