domain,problem,variant,model,parsable,executability,reachability,conditional_reachability,plan_length,plan_length_metric,first_failure_step,strict_final_value,non_executable_failure,non_executable_failure_parse_share,parse_error_flag,state_execution_error_flag,validator_timeout_flag,legacy_cost,legacy_gap,bug_optimal,optimality_ratio,optimal_cost,optimal_plan_length,matching_actions,insertions,deletions,total_distance,normalized_distance,llm_actions_count,optimal_actions_count,deprecated_kendall_tau_inversions,deprecated_insertions,deprecated_deletions,deprecated_total_distance,deprecated_normalized_distance,reasoning_enabled,duration_sec,prompt_tokens,completion_tokens,total_tokens
folding,p15,canonical,gpt-5-mini,True,True,True,True,124,124.0,,7.0,,,False,False,False,7.0,0.0,False,1.0,7.0,124,20,104,104,208,0.8387,124,124,1993,0,0,1993,0.2572,True,173.28,8563,20547,29110
folding,p15,canonical,grok-4-1-fast,False,False,False,,5,,,,parse_error,1.0,True,False,False,,,False,,7.0,124,1,4,123,127,0.9845,5,124,0,-50,69,19,0.0025,True,199.3,8659,22731,31390
folding,p15,canonical,mimo-v2-flash,True,False,False,,7,7.0,2.0,,state_execution_error,0.0,False,True,False,,,False,,7.0,124,1,6,123,129,0.9847,7,124,0,0,117,117,0.0151,True,67.84,9676,11678,21354
folding,p15,canonical,qwen3-5-35b-a3b-alibaba,True,False,False,,29,29.0,14.0,,state_execution_error,0.0,False,True,False,,,False,,7.0,124,3,26,121,147,0.9608,29,124,0,-95,0,-95,-0.0123,True,148.97,10598,14581,25179
folding,p15,optimal,gpt-5-mini,True,True,False,False,1,1.0,,,,,False,False,False,,,False,,7.0,124,1,0,123,123,0.984,1,124,0,-6,117,111,0.0143,True,86.12,8563,8006,16569
folding,p15,optimal,grok-4-1-fast,False,False,False,,4,,,,parse_error,1.0,True,False,False,,,False,,7.0,124,1,3,123,126,0.9844,4,124,0,-51,69,18,0.0023,True,198.77,8659,21854,30513
folding,p15,optimal,mimo-v2-flash,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,7.0,124,0,0,124,124,1.0,0,124,0,0,124,124,0.016,True,108.6,9676,16158,25834
folding,p15,optimal,qwen3-5-35b-a3b-alibaba,False,False,False,,110,,,,parse_error,1.0,True,False,False,,,False,,7.0,124,11,99,113,212,0.906,110,124,1647,-14,0,1633,0.2107,True,204.5,10598,16000,26598
folding,p15,frequency,gpt-5-mini,True,True,True,True,124,124.0,,7.0,,,False,False,False,7.0,0.0,False,1.0,7.0,124,20,104,104,208,0.8387,124,124,1993,0,0,1993,0.2572,True,146.94,8563,16679,25242
folding,p15,frequency,grok-4-1-fast,True,True,True,True,124,124.0,,7.0,,,False,False,False,7.0,0.0,False,1.0,7.0,124,20,104,104,208,0.8387,124,124,1993,0,0,1993,0.2572,True,144.45,8659,18177,26836
folding,p15,frequency,mimo-v2-flash,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,7.0,124,0,0,124,124,1.0,0,124,0,0,124,124,0.016,True,75.94,9676,13219,22895
folding,p15,frequency,qwen3-5-35b-a3b-alibaba,True,False,False,,131,131.0,14.0,,state_execution_error,0.0,False,True,False,,,False,,7.0,124,20,111,104,215,0.8431,131,124,2281,7,0,2288,0.2952,True,86.99,10598,18106,28704
folding,p15,dispersion,gpt-5-mini,True,False,False,,127,127.0,66.0,,state_execution_error,0.0,False,True,False,,,False,,7.0,124,19,108,105,213,0.8486,127,124,2126,3,0,2129,0.2747,True,156.73,8563,17973,26536
folding,p15,dispersion,grok-4-1-fast,False,False,False,,2,,,,parse_error,1.0,True,False,False,,,False,,7.0,124,1,1,123,124,0.9841,2,124,0,-53,69,16,0.0021,True,218.98,8659,25098,33757
folding,p15,dispersion,mimo-v2-flash,True,False,False,,7,7.0,2.0,,state_execution_error,0.0,False,True,False,,,False,,7.0,124,2,5,122,127,0.9695,7,124,0,0,117,117,0.0151,True,105.47,9676,19171,28847
folding,p15,dispersion,qwen3-5-35b-a3b-alibaba,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,7.0,124,0,0,124,124,1.0,0,124,0,0,124,124,0.016,True,197.61,10598,16000,26598
folding,p15,random_01,gpt-5-mini,True,False,False,,7,7.0,2.0,,state_execution_error,0.0,False,True,False,,,False,,7.0,124,2,5,122,127,0.9695,7,124,0,0,117,117,0.0151,True,62.37,8563,5688,14251
folding,p15,random_01,grok-4-1-fast,False,False,False,,4,,,,parse_error,1.0,True,False,False,,,False,,7.0,124,1,3,123,126,0.9844,4,124,0,-51,69,18,0.0023,True,151.93,8659,17367,26026
folding,p15,random_01,mimo-v2-flash,True,False,False,,7,7.0,2.0,,state_execution_error,0.0,False,True,False,,,False,,7.0,124,1,6,123,129,0.9847,7,124,0,0,117,117,0.0151,True,65.97,9676,9702,19378
folding,p15,random_01,qwen3-5-35b-a3b-alibaba,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,7.0,124,0,0,124,124,1.0,0,124,0,0,124,124,0.016,True,101.1,10598,21486,32084
folding,p15,random_02,gpt-5-mini,True,True,True,True,124,124.0,,7.0,,,False,False,False,7.0,0.0,False,1.0,7.0,124,20,104,104,208,0.8387,124,124,1993,0,0,1993,0.2572,True,148.74,8563,18717,27280
folding,p15,random_02,grok-4-1-fast,False,False,False,,4,,,,parse_error,1.0,True,False,False,,,False,,7.0,124,1,3,123,126,0.9844,4,124,0,-51,69,18,0.0023,True,268.82,8659,30074,38733
folding,p15,random_02,mimo-v2-flash,True,False,False,,7,7.0,2.0,,state_execution_error,0.0,False,True,False,,,False,,7.0,124,2,5,122,127,0.9695,7,124,0,0,117,117,0.0151,True,42.99,9676,7708,17384
folding,p15,random_02,qwen3-5-35b-a3b-alibaba,True,False,False,,131,131.0,2.0,,state_execution_error,0.0,False,True,False,,,False,,7.0,124,17,114,107,221,0.8667,131,124,2281,7,0,2288,0.2952,True,97.08,10598,38009,48607
folding,p15,random_03,gpt-5-mini,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,7.0,124,0,0,124,124,1.0,0,124,0,0,124,124,0.016,True,26.67,6341,630,6971
folding,p15,random_03,grok-4-1-fast,False,False,False,,4,,,,parse_error,1.0,True,False,False,,,False,,7.0,124,1,3,123,126,0.9844,4,124,0,-51,69,18,0.0023,True,175.99,8659,20068,28727
folding,p15,random_03,mimo-v2-flash,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,7.0,124,0,0,124,124,1.0,0,124,0,0,124,124,0.016,True,74.04,9676,12790,22466
folding,p15,random_03,qwen3-5-35b-a3b-alibaba,False,False,False,,131,,,,parse_error,1.0,True,False,False,,,False,,7.0,124,12,119,112,231,0.9059,131,124,2281,7,0,2288,0.2952,True,103.48,10598,20763,31361
folding,p15,random_04,gpt-5-mini,True,False,False,,124,124.0,42.0,,state_execution_error,0.0,False,True,False,,,False,,7.0,124,14,110,110,220,0.8871,124,124,1993,0,0,1993,0.2572,True,126.06,8563,16155,24718
folding,p15,random_04,grok-4-1-fast,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,7.0,124,0,0,124,124,1.0,0,124,0,0,124,124,0.016,True,191.13,8659,21378,30037
folding,p15,random_04,mimo-v2-flash,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,7.0,124,0,0,124,124,1.0,0,124,0,0,124,124,0.016,True,96.73,9676,17218,26894
folding,p15,random_04,qwen3-5-35b-a3b-alibaba,True,False,False,,131,131.0,14.0,,state_execution_error,0.0,False,True,False,,,False,,7.0,124,18,113,106,219,0.8588,131,124,2281,7,0,2288,0.2952,True,86.07,10598,17990,28588
folding,p15,random_05,gpt-5-mini,True,False,False,,131,131.0,14.0,,state_execution_error,0.0,False,True,False,,,False,,7.0,124,20,111,104,215,0.8431,131,124,2281,7,0,2288,0.2952,True,191.31,8563,16671,25234
