metric,metric_title,variant,model,mean,ci95_low,ci95_high,n,ci_method,coverage_ratio
plan_length,Plan Length,canonical,deepseek/deepseek-v4-flash,24.066666666666666,21.836862126866308,26.296471206467025,15,t_mean_95,1.0
plan_length,Plan Length,canonical,gpt-oss-120b,17.133333333333333,12.066553403521613,22.200113263145052,15,t_mean_95,1.0
plan_length,Plan Length,canonical,nemotron-3-super,20.666666666666668,4.828396423811412,36.50493690952192,15,t_mean_95,1.0
plan_length,Plan Length,disp_1,deepseek/deepseek-v4-flash,24.4,22.024305575205428,26.77569442479457,15,t_mean_95,1.0
plan_length,Plan Length,disp_1,gpt-oss-120b,16.133333333333333,10.651163377141586,21.61550328952508,15,t_mean_95,1.0
plan_length,Plan Length,disp_1,nemotron-3-super,101.06666666666666,0.9045684793497486,201.2287648539836,15,t_mean_95,1.0
plan_length,Plan Length,disp_2,deepseek/deepseek-v4-flash,21.533333333333335,19.91366837679801,23.15299828986866,15,t_mean_95,1.0
plan_length,Plan Length,disp_2,gpt-oss-120b,13.6,7.705941151100905,19.494058848899094,15,t_mean_95,1.0
plan_length,Plan Length,disp_2,nemotron-3-super,49.06666666666667,-1.8559640559726134,99.98929738930596,15,t_mean_95,1.0
plan_length,Plan Length,disp_3,deepseek/deepseek-v4-flash,21.333333333333332,18.92224259024037,23.744424076426295,15,t_mean_95,1.0
plan_length,Plan Length,disp_3,gpt-oss-120b,9.133333333333333,3.9850496109930145,14.281617055673651,15,t_mean_95,1.0
plan_length,Plan Length,disp_3,nemotron-3-super,109.2,3.7952109233849143,214.60478907661508,15,t_mean_95,1.0
plan_length,Plan Length,plan_front,deepseek/deepseek-v4-flash,22.866666666666667,21.684983726352907,24.048349606980427,15,t_mean_95,1.0
plan_length,Plan Length,plan_front,gpt-oss-120b,11.6,5.875660574604012,17.324339425395987,15,t_mean_95,1.0
plan_length,Plan Length,plan_front,nemotron-3-super,60.13333333333333,-9.001826934693192,129.26849360135986,15,t_mean_95,1.0
plan_length,Plan Length,plan_scatter,deepseek/deepseek-v4-flash,22.533333333333335,20.410235630178143,24.656431036488527,15,t_mean_95,1.0
plan_length,Plan Length,plan_scatter,gpt-oss-120b,15.733333333333333,10.37812448053003,21.088542186136635,15,t_mean_95,1.0
plan_length,Plan Length,plan_scatter,nemotron-3-super,101.06666666666666,15.069638011186768,187.06369532214654,15,t_mean_95,1.0
executability,Executability,canonical,deepseek/deepseek-v4-flash,0.6666666666666666,0.41713547738519774,0.8482367556028526,15,wilson_score_95,1.0
executability,Executability,canonical,gpt-oss-120b,0.2,0.07047549346981563,0.45185448715169363,15,wilson_score_95,1.0
executability,Executability,canonical,nemotron-3-super,0.06666666666666667,0.011866895493268553,0.2981652987378003,15,wilson_score_95,1.0
executability,Executability,disp_1,deepseek/deepseek-v4-flash,0.8,0.5481455128483065,0.9295245065301844,15,wilson_score_95,1.0
executability,Executability,disp_1,gpt-oss-120b,0.5333333333333333,0.30116980025498397,0.7519046463426261,15,wilson_score_95,1.0
executability,Executability,disp_1,nemotron-3-super,0.06666666666666667,0.011866895493268553,0.2981652987378003,15,wilson_score_95,1.0
executability,Executability,disp_2,deepseek/deepseek-v4-flash,0.5333333333333333,0.30116980025498397,0.7519046463426261,15,wilson_score_95,1.0
executability,Executability,disp_2,gpt-oss-120b,0.3333333333333333,0.1517632443971473,0.5828645226148023,15,wilson_score_95,1.0
executability,Executability,disp_2,nemotron-3-super,0.0,0.0,0.20388330103584862,15,wilson_score_95,1.0
executability,Executability,disp_3,deepseek/deepseek-v4-flash,0.2,0.07047549346981563,0.45185448715169363,15,wilson_score_95,1.0
executability,Executability,disp_3,gpt-oss-120b,0.3333333333333333,0.1517632443971473,0.5828645226148023,15,wilson_score_95,1.0
executability,Executability,disp_3,nemotron-3-super,0.0,0.0,0.20388330103584862,15,wilson_score_95,1.0
executability,Executability,plan_front,deepseek/deepseek-v4-flash,0.6,0.357468301206246,0.8017550385865841,15,wilson_score_95,1.0
executability,Executability,plan_front,gpt-oss-120b,0.4,0.1982449614134158,0.6425316987937539,15,wilson_score_95,1.0
executability,Executability,plan_front,nemotron-3-super,0.0,0.0,0.20388330103584862,15,wilson_score_95,1.0
executability,Executability,plan_scatter,deepseek/deepseek-v4-flash,0.6666666666666666,0.41713547738519774,0.8482367556028526,15,wilson_score_95,1.0
executability,Executability,plan_scatter,gpt-oss-120b,0.3333333333333333,0.1517632443971473,0.5828645226148023,15,wilson_score_95,1.0
executability,Executability,plan_scatter,nemotron-3-super,0.0,0.0,0.20388330103584862,15,wilson_score_95,1.0
reachability,Reachability,canonical,deepseek/deepseek-v4-flash,0.6666666666666666,0.41713547738519774,0.8482367556028526,15,wilson_score_95,1.0
reachability,Reachability,canonical,gpt-oss-120b,0.13333333333333333,0.03736125910306537,0.37881982832322364,15,wilson_score_95,1.0
reachability,Reachability,canonical,nemotron-3-super,0.0,0.0,0.20388330103584862,15,wilson_score_95,1.0
reachability,Reachability,disp_1,deepseek/deepseek-v4-flash,0.7333333333333333,0.4804956594401943,0.8910254667430761,15,wilson_score_95,1.0
reachability,Reachability,disp_1,gpt-oss-120b,0.13333333333333333,0.03736125910306537,0.37881982832322364,15,wilson_score_95,1.0
reachability,Reachability,disp_1,nemotron-3-super,0.0,0.0,0.20388330103584862,15,wilson_score_95,1.0
reachability,Reachability,disp_2,deepseek/deepseek-v4-flash,0.4666666666666667,0.24809535365737387,0.698830199745016,15,wilson_score_95,1.0
reachability,Reachability,disp_2,gpt-oss-120b,0.06666666666666667,0.011866895493268553,0.2981652987378003,15,wilson_score_95,1.0
reachability,Reachability,disp_2,nemotron-3-super,0.0,0.0,0.20388330103584862,15,wilson_score_95,1.0
reachability,Reachability,disp_3,deepseek/deepseek-v4-flash,0.2,0.07047549346981563,0.45185448715169363,15,wilson_score_95,1.0
reachability,Reachability,disp_3,gpt-oss-120b,0.06666666666666667,0.011866895493268553,0.2981652987378003,15,wilson_score_95,1.0
reachability,Reachability,disp_3,nemotron-3-super,0.0,0.0,0.20388330103584862,15,wilson_score_95,1.0
reachability,Reachability,plan_front,deepseek/deepseek-v4-flash,0.4,0.1982449614134158,0.6425316987937539,15,wilson_score_95,1.0
reachability,Reachability,plan_front,gpt-oss-120b,0.06666666666666667,0.011866895493268553,0.2981652987378003,15,wilson_score_95,1.0
reachability,Reachability,plan_front,nemotron-3-super,0.0,0.0,0.20388330103584862,15,wilson_score_95,1.0
reachability,Reachability,plan_scatter,deepseek/deepseek-v4-flash,0.4666666666666667,0.24809535365737387,0.698830199745016,15,wilson_score_95,1.0
reachability,Reachability,plan_scatter,gpt-oss-120b,0.2,0.07047549346981563,0.45185448715169363,15,wilson_score_95,1.0
reachability,Reachability,plan_scatter,nemotron-3-super,0.0,0.0,0.20388330103584862,15,wilson_score_95,1.0
conditional_reachability,Conditional Reachability,canonical,deepseek/deepseek-v4-flash,1.0,0.7224672001371107,0.9999999999999999,10,wilson_score_95,0.31851851851851853
conditional_reachability,Conditional Reachability,canonical,gpt-oss-120b,0.6666666666666666,0.2076596008020477,0.9385080552796037,3,wilson_score_95,0.31851851851851853
conditional_reachability,Conditional Reachability,canonical,nemotron-3-super,0.0,0.0,0.7934506856227626,1,wilson_score_95,0.31851851851851853
conditional_reachability,Conditional Reachability,disp_1,deepseek/deepseek-v4-flash,0.9166666666666666,0.646120088858883,0.9851349055950829,12,wilson_score_95,0.31851851851851853
conditional_reachability,Conditional Reachability,disp_1,gpt-oss-120b,0.25,0.071479212752109,0.5907245696898311,8,wilson_score_95,0.31851851851851853
conditional_reachability,Conditional Reachability,disp_1,nemotron-3-super,0.0,0.0,0.7934506856227626,1,wilson_score_95,0.31851851851851853
conditional_reachability,Conditional Reachability,disp_2,deepseek/deepseek-v4-flash,0.875,0.5291118177871464,0.9775825085499433,8,wilson_score_95,0.31851851851851853
conditional_reachability,Conditional Reachability,disp_2,gpt-oss-120b,0.2,0.03622410863243014,0.6244653702374747,5,wilson_score_95,0.31851851851851853
conditional_reachability,Conditional Reachability,disp_3,deepseek/deepseek-v4-flash,1.0,0.4385029682449546,1.0,3,wilson_score_95,0.31851851851851853
conditional_reachability,Conditional Reachability,disp_3,gpt-oss-120b,0.2,0.03622410863243014,0.6244653702374747,5,wilson_score_95,0.31851851851851853
conditional_reachability,Conditional Reachability,plan_front,deepseek/deepseek-v4-flash,0.6666666666666666,0.3542021355803963,0.879416181613089,9,wilson_score_95,0.31851851851851853
conditional_reachability,Conditional Reachability,plan_front,gpt-oss-120b,0.16666666666666666,0.030053369748306635,0.5635028221864702,6,wilson_score_95,0.31851851851851853
conditional_reachability,Conditional Reachability,plan_scatter,deepseek/deepseek-v4-flash,0.7,0.39677814746114537,0.8922087325936989,10,wilson_score_95,0.31851851851851853
conditional_reachability,Conditional Reachability,plan_scatter,gpt-oss-120b,0.6,0.2307242812760128,0.882379225767352,5,wilson_score_95,0.31851851851851853
optimality_ratio,Optimality Ratio,canonical,deepseek/deepseek-v4-flash,1.2736842105263158,1.1720430384205396,1.375325382632092,10,t_mean_95,0.2
optimality_ratio,Optimality Ratio,canonical,gpt-oss-120b,1.1578947368421053,0.489157894736843,1.8266315789473677,2,t_mean_95,0.2
optimality_ratio,Optimality Ratio,disp_1,deepseek/deepseek-v4-flash,1.3205741626794258,1.1652848419798816,1.47586348337897,11,t_mean_95,0.2
optimality_ratio,Optimality Ratio,disp_1,gpt-oss-120b,1.1578947368421053,0.489157894736843,1.8266315789473677,2,t_mean_95,0.2
optimality_ratio,Optimality Ratio,disp_2,deepseek/deepseek-v4-flash,1.2255639097744362,1.1379695470443894,1.313158272504483,7,t_mean_95,0.2
optimality_ratio,Optimality Ratio,disp_2,gpt-oss-120b,1.263157894736842,1.263157894736842,1.263157894736842,1,single_observation,0.2
optimality_ratio,Optimality Ratio,disp_3,deepseek/deepseek-v4-flash,1.2631578947368423,1.0366842105263159,1.4896315789473686,3,t_mean_95,0.2
optimality_ratio,Optimality Ratio,disp_3,gpt-oss-120b,1.105263157894737,1.105263157894737,1.105263157894737,1,single_observation,0.2
optimality_ratio,Optimality Ratio,plan_front,deepseek/deepseek-v4-flash,1.2105263157894737,1.2105263157894737,1.2105263157894737,6,t_mean_95,0.2
