metric,metric_title,variant,model,mean,ci95_low,ci95_high,n,ci_method,coverage_ratio
plan_length,Plan Length,canonical,deepseek/deepseek-v4-flash,6.0,6.0,6.0,15,t_mean_95,1.0
plan_length,Plan Length,canonical,gpt-oss-120b,6.133333333333334,5.847333333333334,6.419333333333333,15,t_mean_95,1.0
plan_length,Plan Length,canonical,nemotron-3-super,6.8,4.217502122805463,9.382497877194536,15,t_mean_95,1.0
plan_length,Plan Length,disp_1,deepseek/deepseek-v4-flash,6.0,6.0,6.0,15,t_mean_95,1.0
plan_length,Plan Length,disp_1,gpt-oss-120b,6.0,6.0,6.0,15,t_mean_95,1.0
plan_length,Plan Length,disp_1,nemotron-3-super,6.0,6.0,6.0,15,t_mean_95,1.0
plan_length,Plan Length,disp_2,deepseek/deepseek-v4-flash,6.4,5.542,7.258000000000001,15,t_mean_95,1.0
plan_length,Plan Length,disp_2,gpt-oss-120b,6.0,6.0,6.0,15,t_mean_95,1.0
plan_length,Plan Length,disp_2,nemotron-3-super,6.0,6.0,6.0,15,t_mean_95,1.0
plan_length,Plan Length,disp_3,deepseek/deepseek-v4-flash,6.0,6.0,6.0,15,t_mean_95,1.0
plan_length,Plan Length,disp_3,gpt-oss-120b,6.0,6.0,6.0,15,t_mean_95,1.0
plan_length,Plan Length,disp_3,nemotron-3-super,34.93333333333333,-27.12866666666666,96.99533333333332,15,t_mean_95,1.0
plan_length,Plan Length,plan_front,deepseek/deepseek-v4-flash,6.0,6.0,6.0,15,t_mean_95,1.0
plan_length,Plan Length,plan_front,gpt-oss-120b,6.0,6.0,6.0,15,t_mean_95,1.0
plan_length,Plan Length,plan_front,nemotron-3-super,6.0,6.0,6.0,15,t_mean_95,1.0
plan_length,Plan Length,plan_scatter,deepseek/deepseek-v4-flash,6.0,6.0,6.0,15,t_mean_95,1.0
plan_length,Plan Length,plan_scatter,gpt-oss-120b,6.0,6.0,6.0,15,t_mean_95,1.0
plan_length,Plan Length,plan_scatter,nemotron-3-super,6.0,6.0,6.0,15,t_mean_95,1.0
executability,Executability,canonical,deepseek/deepseek-v4-flash,1.0,0.7961166989641515,1.0,15,wilson_score_95,1.0
executability,Executability,canonical,gpt-oss-120b,1.0,0.7961166989641515,1.0,15,wilson_score_95,1.0
executability,Executability,canonical,nemotron-3-super,0.8666666666666667,0.6211801716767764,0.9626387408969346,15,wilson_score_95,1.0
executability,Executability,disp_1,deepseek/deepseek-v4-flash,1.0,0.7961166989641515,1.0,15,wilson_score_95,1.0
executability,Executability,disp_1,gpt-oss-120b,1.0,0.7961166989641515,1.0,15,wilson_score_95,1.0
executability,Executability,disp_1,nemotron-3-super,1.0,0.7961166989641515,1.0,15,wilson_score_95,1.0
executability,Executability,disp_2,deepseek/deepseek-v4-flash,0.9333333333333333,0.7018347012621998,0.9881331045067315,15,wilson_score_95,1.0
executability,Executability,disp_2,gpt-oss-120b,1.0,0.7961166989641515,1.0,15,wilson_score_95,1.0
executability,Executability,disp_2,nemotron-3-super,1.0,0.7961166989641515,1.0,15,wilson_score_95,1.0
executability,Executability,disp_3,deepseek/deepseek-v4-flash,1.0,0.7961166989641515,1.0,15,wilson_score_95,1.0
executability,Executability,disp_3,gpt-oss-120b,1.0,0.7961166989641515,1.0,15,wilson_score_95,1.0
executability,Executability,disp_3,nemotron-3-super,0.9333333333333333,0.7018347012621998,0.9881331045067315,15,wilson_score_95,1.0
executability,Executability,plan_front,deepseek/deepseek-v4-flash,0.9333333333333333,0.7018347012621998,0.9881331045067315,15,wilson_score_95,1.0
executability,Executability,plan_front,gpt-oss-120b,1.0,0.7961166989641515,1.0,15,wilson_score_95,1.0
executability,Executability,plan_front,nemotron-3-super,1.0,0.7961166989641515,1.0,15,wilson_score_95,1.0
executability,Executability,plan_scatter,deepseek/deepseek-v4-flash,1.0,0.7961166989641515,1.0,15,wilson_score_95,1.0
executability,Executability,plan_scatter,gpt-oss-120b,0.8666666666666667,0.6211801716767764,0.9626387408969346,15,wilson_score_95,1.0
executability,Executability,plan_scatter,nemotron-3-super,1.0,0.7961166989641515,1.0,15,wilson_score_95,1.0
reachability,Reachability,canonical,deepseek/deepseek-v4-flash,1.0,0.7961166989641515,1.0,15,wilson_score_95,1.0
reachability,Reachability,canonical,gpt-oss-120b,1.0,0.7961166989641515,1.0,15,wilson_score_95,1.0
reachability,Reachability,canonical,nemotron-3-super,0.8666666666666667,0.6211801716767764,0.9626387408969346,15,wilson_score_95,1.0
reachability,Reachability,disp_1,deepseek/deepseek-v4-flash,1.0,0.7961166989641515,1.0,15,wilson_score_95,1.0
reachability,Reachability,disp_1,gpt-oss-120b,1.0,0.7961166989641515,1.0,15,wilson_score_95,1.0
reachability,Reachability,disp_1,nemotron-3-super,1.0,0.7961166989641515,1.0,15,wilson_score_95,1.0
reachability,Reachability,disp_2,deepseek/deepseek-v4-flash,0.9333333333333333,0.7018347012621998,0.9881331045067315,15,wilson_score_95,1.0
reachability,Reachability,disp_2,gpt-oss-120b,1.0,0.7961166989641515,1.0,15,wilson_score_95,1.0
reachability,Reachability,disp_2,nemotron-3-super,1.0,0.7961166989641515,1.0,15,wilson_score_95,1.0
reachability,Reachability,disp_3,deepseek/deepseek-v4-flash,1.0,0.7961166989641515,1.0,15,wilson_score_95,1.0
reachability,Reachability,disp_3,gpt-oss-120b,1.0,0.7961166989641515,1.0,15,wilson_score_95,1.0
reachability,Reachability,disp_3,nemotron-3-super,0.9333333333333333,0.7018347012621998,0.9881331045067315,15,wilson_score_95,1.0
reachability,Reachability,plan_front,deepseek/deepseek-v4-flash,0.9333333333333333,0.7018347012621998,0.9881331045067315,15,wilson_score_95,1.0
reachability,Reachability,plan_front,gpt-oss-120b,1.0,0.7961166989641515,1.0,15,wilson_score_95,1.0
reachability,Reachability,plan_front,nemotron-3-super,1.0,0.7961166989641515,1.0,15,wilson_score_95,1.0
reachability,Reachability,plan_scatter,deepseek/deepseek-v4-flash,1.0,0.7961166989641515,1.0,15,wilson_score_95,1.0
reachability,Reachability,plan_scatter,gpt-oss-120b,0.8666666666666667,0.6211801716767764,0.9626387408969346,15,wilson_score_95,1.0
reachability,Reachability,plan_scatter,nemotron-3-super,1.0,0.7961166989641515,1.0,15,wilson_score_95,1.0
