metric,metric_title,variant,model,mean,ci95_low,ci95_high,n,ci_method,coverage_ratio
plan_length,Plan Length,canonical,cohere/north-mini-code:free,11.4,-2.8587770112707354,25.658777011270736,15,t_mean_95,1.0
plan_length,Plan Length,canonical,deepseek/deepseek-v4-flash,44.2,40.80393816310716,47.596061836892844,15,t_mean_95,1.0
plan_length,Plan Length,canonical,gpt-oss-120b,8.2,1.3872628534067575,15.012737146593242,15,t_mean_95,1.0
plan_length,Plan Length,canonical,nemotron-3-super,9.4,-15.314196522646652,34.11419652264665,5,t_mean_95,1.0
plan_length,Plan Length,disp_1,cohere/north-mini-code:free,8.533333333333333,-2.2950814167582063,19.36174808342487,15,t_mean_95,1.0
plan_length,Plan Length,disp_1,deepseek/deepseek-v4-flash,33.733333333333334,21.663712182929082,45.80295448373759,15,t_mean_95,1.0
plan_length,Plan Length,disp_1,gpt-oss-120b,17.133333333333333,11.735742905320901,22.530923761345765,15,t_mean_95,1.0
plan_length,Plan Length,disp_1,nemotron-3-super,0.4,-0.2799783525966102,1.0799783525966102,5,t_mean_95,1.0
plan_length,Plan Length,disp_2,cohere/north-mini-code:free,10.933333333333334,-1.745372791504483,23.61203945817115,15,t_mean_95,1.0
plan_length,Plan Length,disp_2,deepseek/deepseek-v4-flash,260.8,-229.65415339647916,751.2541533964792,15,t_mean_95,1.0
plan_length,Plan Length,disp_2,gpt-oss-120b,7.4,2.9901248316987488,11.809875168301252,15,t_mean_95,1.0
plan_length,Plan Length,disp_2,nemotron-3-super,0.6,-0.07997835259661024,1.2799783525966102,5,t_mean_95,1.0
plan_length,Plan Length,disp_3,cohere/north-mini-code:free,10.866666666666667,0.4971592255473656,21.23617410778597,15,t_mean_95,1.0
plan_length,Plan Length,disp_3,deepseek/deepseek-v4-flash,39.333333333333336,30.069026867886812,48.59763979877986,15,t_mean_95,1.0
plan_length,Plan Length,disp_3,gpt-oss-120b,3.2666666666666666,0.3028336513202987,6.2304996820130345,15,t_mean_95,1.0
